,precision,recall,f1-score,support
0,0.8545454545454545,0.8785046728971962,0.8663594470046083,107.0
1,0.7045454545454546,0.6595744680851063,0.6813186813186813,47.0
accuracy,0.8116883116883117,0.8116883116883117,0.8116883116883117,0.8116883116883117
macro avg,0.7795454545454545,0.7690395704911512,0.7738390641616448,154.0
weighted avg,0.8087662337662338,0.8116883116883117,0.8098859665679943,154.0
